"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,217,8,1000,12636991
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,117,0,0,12544555
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,177,5,2500,12488553
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,216,8,800,12398730
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,215,7,700,8912422
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,217,7,700,8492159
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,218,7,800,6750328
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,217,7,800,5877902
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,218,100,10000,5361262
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,217,10,1000,5307672
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,216,100,10000,5093472
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,218,100,10000,5073261
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,216,100,10000,5063909
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,218,5,10000,4982113
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,121,8,800,4977535
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,117,8,800,4943195
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,216,4,800,4863406
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,217,5,800,4838392
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",10,122,0,0,4401265
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",10,215,4,800,4352985
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,218,100,10000,4250000
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,215,100,10000,4025278
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,218,10,10000,3680801
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,215,100,10000,3598006
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,116,8,800,3395866
"6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh",10,216,2,200,3384515
"3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q",0,216,5,10000,3228744
"86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6",0,202,8,800,3209974
"6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs",0,217,10,800,3102348
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",10,217,0,0,3043688
