"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_lamports_last_10"
"74pfDmYto6aAqCzFH1mNJ8NxF7A4LQ4cXkipGwgjY39u",0,116,-Infinity,-Infinity,2398344
"HxYHGzR58gyf6c4JAX85eK8GVuaZU2zne4be82Lq9SBQ",0,117,-Infinity,-Infinity,2322628
"CxFH1pqJnEmyaE4wEwqdqMKpQMpkmdaMxhS7SzpHokA8",0,118,-Infinity,-Infinity,2182665
"GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",0,115,-Infinity,-Infinity,2123141
"Cat8oWQiFfrR3c7BcceTYcpnYCzSWfCPjMXT7mfHXvEP",0,81,-Infinity,-Infinity,2106612
"FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX",0,117,-Infinity,-Infinity,2083334
"Ezp1xiZC2mcenHjFB4nAfb8HW9YuGEBFit49yGG7XdAu",10,117,-Infinity,-Infinity,2082569
"A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo",0,104,-Infinity,-Infinity,2075176
"9GJmEHGom9eWo4np4L5vC6b6ri1Df2xN8KFoWixvD1Bs",10,117,-Infinity,-Infinity,1962179
"ERut3CwqVeoa616QBaoHc5jL52RpkXjZZZ7MeaMaCtLi",0,101,-Infinity,-Infinity,1949989
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",10,17,-Infinity,-Infinity,1914383
"8BMMDVM8Tb88a2Hx1VSZ1TKmH1rMHbVU7xVafMk9JrEW",0,115,-Infinity,-Infinity,1875000
"mintrNtxN3PhAB45Pt41XqyKghTTpqcoBkQTZqh96iR",0,116,-Infinity,-Infinity,1690934
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,118,-Infinity,-Infinity,1637500
"RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y",10,118,-Infinity,-Infinity,1625543
"2LrSZWeyvFovnzVFpFPQE7Lxt64xs3s3Re9HLxMJtGwf",0,117,-Infinity,-Infinity,1623994
"7jPqpHuN5v59dtBom2tjmYEfi6WaM4sFtJeTD6fzhcdS",0,117,-Infinity,-Infinity,1487835
"DQ7D6ZRtKbBSxCcAunEkoTzQhCBKLPdzTjPRRnM6wo1f",10,116,-Infinity,-Infinity,1485113
"EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72",0,117,-Infinity,-Infinity,1439695
"J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP",0,116,-Infinity,-Infinity,1393597
"CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ",0,117,-Infinity,-Infinity,1358226
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",10,22,-Infinity,-Infinity,1344595
"Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE",0,115,-Infinity,-Infinity,1266293
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",10,118,-Infinity,-Infinity,1227043
"AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX",0,118,-Infinity,-Infinity,1207979
"A3ahHFBFkPkuLMhxLGEnKVVZu2J6Qy8Z7z2zozyXGhw2",0,118,-Infinity,-Infinity,1143880
"AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t",10,117,-Infinity,-Infinity,1123423
"ALiQdX94fYbGUt8ar6chuAN1nj8g8bKSgJ7qV3W7bPsS",0,117,-Infinity,-Infinity,1094528
"FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571",0,114,-Infinity,-Infinity,1084035
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",0,115,-Infinity,-Infinity,1064360
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",0,115,-Infinity,-Infinity,1052853
"Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj",10,115,-Infinity,-Infinity,1044979
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",10,118,-Infinity,-Infinity,1043523
"7opSZGmevWhRDyLt5Wu38FZFjUyredGmMki4DNmxDnjd",0,116,-Infinity,-Infinity,988919
"Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa",0,116,-Infinity,-Infinity,944266
"Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",0,118,-Infinity,-Infinity,894037
"3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW",0,118,-Infinity,-Infinity,882411
"7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm",0,117,-Infinity,-Infinity,846177
"SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV",0,117,-Infinity,-Infinity,835892
"5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx",0,118,-Infinity,-Infinity,825470
"8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM",0,117,-Infinity,-Infinity,801923
"5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv",0,117,-Infinity,-Infinity,791829
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",10,114,-Infinity,-Infinity,751536
"BfxZj7ckfRGHxByn7aHgH2puyXhfjAUvULtRjJo4rd8C",0,115,-Infinity,-Infinity,750647
"8zHJtME22tiY3UsSHtDJXo2J8hUfwikBxXNbVqQzA92r",0,117,-Infinity,-Infinity,749986
"StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp",1,117,-Infinity,-Infinity,742253
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",0,116,-Infinity,-Infinity,741545
"7K8DVxtNJGnMtUY1CQJT5jcs8sFGSZTDiG7kowvFpECh",0,118,-Infinity,-Infinity,738292
"2PEyBgsPYBQ8pMdXQtEaPGNqWQHE9GCnmV2tTVN4GMru",10,118,-Infinity,-Infinity,722486
"7emL18Bnve7wbYE9Az7vYJjikxN6YPU81igf6rVU5FN8",10,118,-Infinity,-Infinity,712558
"QUANT7qKUEW4PS4eP9jq4K35rDHpgWkWcgjbW1CwnGJ",10,67,-Infinity,-Infinity,674142
"edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT",10,118,-Infinity,-Infinity,654735
"J9pfW4dJM8fkoCLQazymPcbNrUV3DzDo9qqokYiTHLZ",0,72,-Infinity,-Infinity,643011
"7nwBKRcUZ4A6Ni1VSoKKSacgLCraqdyQxR8SdVUZmiPN",0,93,-Infinity,-Infinity,633133
"2tucttroqFNXsrYeMBQ8LfzKNfgwT2rHBzAF6RzbbHEp",0,117,-Infinity,-Infinity,625892
"6W8yrMwtDU5G6ErazhZHfLjqZV8cMvajpSRGYgrZ3d4v",0,116,-Infinity,-Infinity,609471
"Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf",10,117,-Infinity,-Infinity,595878
"BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU",10,118,-Infinity,-Infinity,587148
"HAu1TuW2T3mBQYbQdQ7edzVhKxirqT2k7jwUcFxSJGWX",0,117,-Infinity,-Infinity,574955
"93jNtLuu5MF3Me4MGidwQFq8Pg7iVWiRHioXm3aYhsv6",0,36,-Infinity,-Infinity,566668
"B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv",10,118,-Infinity,-Infinity,536234
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",10,117,-Infinity,-Infinity,528825
"8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW",10,116,-Infinity,-Infinity,493031
"EwsDhgfbT6H4FRC7AHdhXNBxfBSbWCbDfknrw6g5Dph6",0,17,-Infinity,-Infinity,491086
"7ikNtivRm2EDHQtnheqSnxkbNvRxMgtmthEAG84V8AEf",10,117,-Infinity,-Infinity,477789
"6KxQFRReTRH6gFJUs2CkSa57fobfAbQtigp1NfGXt3Qs",0,115,-Infinity,-Infinity,470497
"mrgn2vsZ5EJ8YEfAMNPXmRux7th9cNfBasQ1JJvVwPn",10,108,-Infinity,-Infinity,468390
"8yPiZWMNYMhEqTmPSRc6LsWLFC8pewYEzmgc5kRCLTrZ",10,50,-Infinity,-Infinity,467782
"J2nUHEAgZFRyuJbFjdqPrAa9gyWDuc7hErtDQHPhsYRp",0,118,-Infinity,-Infinity,466518
"6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP",0,118,-Infinity,-Infinity,465186
"oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe",10,91,-Infinity,-Infinity,444394
"8HR5rCobbFMDe5EbgKdJLNDWVCeGG79w837BUxtsCngs",9,116,-Infinity,-Infinity,443827
