"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,102,5,2500,12726386
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,141,8,800,11507416
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,140,7,700,9258103
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,142,7,700,8841597
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,42,0,0,8338655
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,143,7,800,6942495
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,46,8,800,6189127
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,142,7,800,6119543
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,142,8,10000,5568790
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,141,4,800,5460189
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,143,100,10000,5389666
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,142,5,800,5369297
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,42,8,800,5255862
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,143,100,10000,5243629
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,141,100,10000,4940542
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,141,100,10000,4927256
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",0,140,4,800,4462977
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,142,10,1000,4173786
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",0,141,3,10000,4109016
