"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10","total_vote_credits_last_10","criteria_value_super_miniority","criteria_value_commission","criteria_value_mev_commission","criteria_value_epoch_credits","criteria_met_super_minority","criteria_met_commission","criteria_met_mev_commission","criteria_met_epoch_credits","in_allow_list"
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,478,7,700,15420499,68992491,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6903961,6904126,6901925,6891441,6902035,6897194,6899422,6897444,6904260,6890683","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,378,0,0,14529969,68964095,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6901962,6904028,6901201,6891759,6902039,6897075,6899494,6896126,6900329,6870082","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,478,0,0,13333871,68971445,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6902179,6904132,6901665,6879911,6902220,6888487,6899735,6897701,6904441,6890974","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,383,5,0,12432234,69027933,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,5","0,0,0,0,0,0,0,0,0,0","6905726,6906022,6903868,6897702,6904923,6901574,6902841,6901810,6906541,6896926","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,476,7,700,9024887,68992009,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6903835,6903797,6902024,6891650,6901926,6897187,6899383,6897370,6904182,6890655","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"8GbwASqdpw4dVcwbWUxbHXMrjyQx2aKkoBR5H1GJF8iD",0,107,0,0,8005086,68988836,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6902168,6904152,6900859,6891753,6902046,6897168,6899506,6896112,6904275,6890797","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,478,7,10000,7404411,68979239,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6905929,6906072,6887900,6866905,6903858,6901429,6902875,6901442,6906247,6896582","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf",0,128,0,0,7117418,68989840,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6903625,6903891,6901707,6891521,6901262,6897132,6899310,6897309,6904153,6889930","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,478,0,0,6621748,68980101,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6902193,6902511,6899794,6889335,6900869,6896944,6899313,6896406,6903186,6889550","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",0,477,10,1000,6616679,68979597,"1,1,1,1,1,1,1,1,1,1","10,10,10,10,10,10,10,10,10,10","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","6904175,6904361,6902509,6891913,6902101,6896844,6897462,6893709,6899870,6886653","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
