"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,146,5,2500,12765951
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,86,0,0,12746557
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,185,8,800,11627535
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,186,7,700,9997855
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,184,7,700,9574247
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,187,7,800,7898473
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,186,7,800,6638269
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,186,8,1000,5975066
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,187,100,10000,5613139
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,90,8,800,5492741
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,187,100,10000,5458984
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,186,5,800,5409906
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,185,100,10000,5107925
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,185,100,10000,5103253
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,186,10,1000,5009369
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,86,8,800,5005461
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,185,4,800,4983499
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,91,0,0,4852454
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",0,184,4,800,4432689
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,187,5,10000,4377167
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,184,100,10000,4132388
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,187,100,10000,3987500
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,187,0,10000,3667792
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,184,100,10000,3598006
"GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e",10,185,0,0,3496166
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,85,8,800,3460344
"86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6",0,171,8,800,3407714
