"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,127,8,800,11225771
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,88,5,3000,9739820
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,126,7,700,9141215
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,128,7,700,8240703
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,129,7,800,6812965
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,128,7,800,5761771
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,128,8,10000,5545351
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,127,4,800,5439595
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,128,5,800,5330898
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,32,8,800,5286796
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,129,100,10000,5215152
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,129,100,10000,4984546
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,127,100,10000,4828202
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,28,8,800,4826019
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,127,100,10000,4795466
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",0,126,4,800,4659756
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",2,28,0,0,4590627
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,129,5,10000,4554232
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",0,127,3,10000,4235628
"86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6",0,113,8,800,3914773
"GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL",0,128,2,3333,3735389
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,27,8,800,3713450
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,129,0,10000,3616363
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,126,100,10000,3598007
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,126,100,10000,3559451
"GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e",8,127,0,0,3389693
"6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh",10,127,2,200,3291545
"CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu",0,127,10,3000,3264624
"3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q",0,127,10,5000,3118390
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",10,128,0,0,3100405
"BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT",10,127,2,200,3053182
"6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs",0,128,10,800,3035621
"7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",0,125,100,10000,2916667
"4khYzWBsGrBcvhQkA1UZbiMd51MaJ6zGgec563nqeP5A",0,126,100,10000,2871056
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,128,10,1000,2697733
"F5b1wSUtpaYDnpjLQonCZC7iyFvizLcNqTactZbwSEXK",10,128,0,0,2695706
"beefKGBWeSpHzYBHZXwp5So7wdQGX6mu4ZHCsH3uTar",0,127,8,800,2619314
