"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,171,5,2500,12575531
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,111,0,0,12515570
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,210,8,800,12453793
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,211,8,1000,11342903
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,209,7,700,9036914
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,211,7,700,8809455
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,212,7,800,6846472
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,211,7,800,5925433
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,212,100,10000,5467000
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,211,10,1000,5255838
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,212,100,10000,5243027
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,115,8,800,5104486
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,210,100,10000,5021446
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,210,100,10000,5000340
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,111,8,800,4943898
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,210,4,800,4897417
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",2,211,5,800,4835674
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",5,116,0,0,4820071
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,212,5,10000,4783994
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",10,209,4,800,4378415
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,212,100,10000,4250000
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,209,100,10000,4181277
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,212,10,10000,3683409
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,209,100,10000,3598006
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,110,8,800,3404414
"6jzDwKeR21EFHwaRgZMefMxJ9D2vnQRqfYxkpUuJppPh",10,210,2,200,3376612
"86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6",0,196,8,800,3261942
"3Ty8DYNBkK237zPvACti83EJYGxDcMcoDMCou5r3eV5Q",0,210,5,10000,3221624
"HxRrsnbc6K8CdEo3LCTrSUkFaDDxv9BdJsTDzBKnUVWH",10,211,0,0,3150668
"6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs",0,211,10,800,3060149
"A9V5e8ZLwQ2ArKZnCcrmz9Q92pDCkUXE5tqJmJDZkCMo",0,198,8,800,3030432
"7xENfwKCajMB5aVTgmTB6h7d7Su91wTcnfMjoAQCMvKq",0,208,100,10000,2916667
"GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e",10,210,0,0,2827658
"GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",0,209,100,10000,2751887
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",0,210,3,10000,2648810
"CertusDeBmqN8ZawdkxK5kFGMwBXdudvWHYwtNgNhvLu",0,210,5,3000,2585067
"BkSS8kGUNcQkTgEKMmBhHxGVLdzw43EAzDYpZqyyxFrT",10,210,2,200,2526049
