"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,121,5,2500,12906330
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,61,0,0,12836528
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,160,8,800,11073259
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,159,7,700,9337419
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,161,7,700,8874631
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,162,7,800,7595283
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,161,7,800,6166787
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,65,8,800,5834264
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,161,8,1000,5606494
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,162,100,10000,5466186
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,161,5,800,5393442
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,162,100,10000,5385400
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,61,8,800,5148701
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,161,10,1000,5080301
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,160,100,10000,5037958
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,160,100,10000,5028833
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,160,4,800,4924215
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",0,159,4,800,4393244
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",3,66,0,0,4151060
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,159,100,10000,4022852
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,60,8,800,3846519
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,162,5,10000,3785393
