"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","avg_activated_stake_lamports_last_10"
ExoN8Q9RUUE5mpjTakaRx2PUtuGzH28JgkntJZ4sX7Qc,0,115,1622670
FS9W4QH5YEQXBpmdUDx2YDCDBiegM9rMmpjcwN1r37Tk,10,114,1621223
FDoNsYGpjN7PoEy8i3nCAgo8ytA4a4K6gj3TE22b7Nsc,0,116,1562500
HTWGuYzJBFZGYJ4wg8Xg1UF5QqckaNuj8nvWoBow1oqM,10,15,1529539
9Qomd2BFnDSUzHPvUjxBwtVqB3ErVnzroHynubdJFLyD,0,115,1485162
Donh6nSdT5MioDhi9nt7wnGCHvaxx6mJfmuseZTBwV5n,10,114,1467198
9HEDbM4r5492RRKU5q9NehtAHtJrPzYyTVw42rnSo3do,10,115,1389703
B6V3AHGFGiJEHRgXuA23kDEBGGuPs2imkyNhd4NnXLQd,10,115,1351091
92hLfSrb7S3yYLsjSEQqF3gaP55bjyBFirPNLvEUZR87,10,114,1331583
H7AuNfwdULUQCkNbQCKXnRPTofuKbmHyPBkzvLH8DGNe,0,113,1266466
2BCUdg9P2tazpCdDxYWbE6RYM2WD9kSYFTMyEk9F7hqT,10,116,1224586
ETpFkQpD8jSoiWZJdZRU7qmAQm45DRy7qNUWqJ5jCZtV,0,116,1207979
FUnA87JkPHRjpmyeCeMWCdDWqrwU5YXYR9ieTrfWJYAw,10,20,1196927
ASL2cWMrrLpAkNY7A4G3ePMv9XM33PncVBpdfXnngBqu,0,116,1143880
DUi9w726PLDYmjSmDtGP8xPbg8cp41PqEgd2JLqnCpHJ,0,115,1106528
DZC54GrGeP8r6P8AQqj3aQb9sUXPpxKNVJP3jTh9t8kS,10,115,1105437
GXMB4HEM6GEKvUhybiCWMgm4kyc7tgppd9y89yQxddw6,0,112,1095402
8kCbAVwnbPq182uPE1tkCqgwGwZst81a4NPArVjPpdkV,10,113,1065112
8Geasyr3vKPkmLB827FLaQWYEAsyfqV9GJY54GNFeVi5,10,113,1057063
3Fy4S2rz5Bgevj6Ufn83fv2szFx9DoD813rR9YyKf64M,10,113,1045056
6EikHUKojDW5qi6UoALejmtRJGnbcy1Umu4LrsqHrBNq,10,116,1029348
ALBVy6EQLKg2e8SpQ2wCBmXZSTShZhkK5SC8maoTA5Lj,10,114,1024693
3h8RKZXBpvsevyRV2Rb94Qs5VZovqmsN6GpvouJwTAZ3,0,114,942705
93CvJR9YVSRur2b3v4YkJTsYbZbA5zsRW5WBzjHYC55A,10,116,901502
FKjzoZRnnnd1ydffUJ7tBUDUx597h9WpWMLmUxY8WRJT,0,116,892411
G5DTrWeevjfW33w5FqvA3ra3j27Tugn8vHEYR5kNYHob,10,115,846915
Ei2RUdQBUxhQGfLzr478hEXYpK5mKZHqKpUyT4d1RzrP,0,115,846177
