"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10","total_vote_credits_last_10","criteria_value_super_miniority","criteria_value_commission","criteria_value_mev_commission","criteria_value_epoch_credits","criteria_met_super_minority","criteria_met_commission","criteria_met_mev_commission","criteria_met_epoch_credits"
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,329,0,0,14716886,68894752,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6885859,6892583,6877193,6881055,6882168,6892008,6899560,6900945,6891455,6891926","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,334,0,0,13032163,68929631,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6887285,6894895,6884128,6894644,6888412,6896319,6900507,6900711,6891004,6891726","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,429,7,700,12778930,68926983,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6887255,6894340,6881952,6894954,6888248,6893717,6902908,6900842,6891163,6891604","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,429,0,0,11766845,68906802,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6887079,6869074,6884026,6894835,6888269,6897468,6903083,6900726,6891485,6890757","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,427,7,700,8475178,68932459,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6887190,6894975,6884096,6895126,6888249,6895538,6903095,6900764,6891673,6891753","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,430,5,10000,7979827,68925605,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6884858,6893870,6883038,6895111,6888218,6896692,6901686,6900928,6890580,6890624","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf",0,79,0,0,7586068,68934369,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6887445,6893591,6884333,6895139,6888400,6897593,6903192,6900925,6891840,6891911","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,389,5,2500,7373370,68913173,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","2500,2500,2500,2500,2500,2500,2500,2500,2500,2500","6887448,6893827,6884296,6892094,6887061,6888919,6902043,6900726,6884829,6891930","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,429,7,10000,7145913,68982059,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6895256,6898520,6890140,6899784,6894923,6900509,6905306,6903767,6896707,6897147","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true"
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,429,0,0,6659200,68910404,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6885632,6892882,6880496,6893423,6886411,6895485,6899801,6898667,6889158,6888449","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true"
