"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,110,5,2500,12948119
"6D2jqw9hyVCpppZexquxa74Fn33rJzzBx38T58VucHx9",0,149,8,800,11466357
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,50,0,0,11449954
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,148,7,700,9426845
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,150,7,700,8832047
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,151,7,800,7834121
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,150,7,800,6218158
"55L7AV93xRmx5F7rX1GCfsHxfYWNu4bKsG6f8tG6dFRo",0,54,8,800,5969502
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,150,8,10000,5585007
"G9x1mqewTeVnXLmv3FamYD5tq1AdS395RHH3MLQPj6TY",0,151,100,10000,5505518
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,150,5,800,5380117
"J1to2NAwajc8hD6E6kujdQiPn1Bbt2mGKKZLY9kSQKdB",0,149,4,800,5361283
"H74qox1GASBWd94FWMyy6GVAbRVLf9SAMgbJ1tzSUAst",0,151,100,10000,5326599
"XzMLju7T6BSSngmsPogeuryd6uswiimkPU87gB2chho",0,50,8,800,5167891
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,149,100,10000,5001263
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,149,100,10000,5000995
"Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR",0,150,10,1000,4911433
"J1to1yufRnoWn81KYg1XkTWzmKjnYSnmE2VY8DGUJ9Qv",0,148,4,800,4420140
"6x9uLhegx488uA3dPoq8DWHS488K4FsEqeeMXeW7kQPx",0,49,8,800,3888706
"KRAKEnMdmT4EfM8ykTFH6yLoCd5vNLcQvJwF66Y2dag",0,148,100,10000,3875043
"BLADE1qNA1uNjRgER6DtUFf7FU3c1TWLLdpPeEcKatZ2",0,149,3,10000,3858234
"86dGbSrKhZHgKLWZc1hAyzQkk2asXGCFsoRsu1Ccfzd6",0,135,8,800,3766986
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",10,55,0,0,3760633
"8Pep3GmYiijRALqrMKpez92cxvF4YPTzoZg83uXh14pW",0,151,0,10000,3653365
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,151,5,10000,3645108
"iZADA4YKVRJZJaDUV3j79DzyK4VJkK3DGTfvvqvbC1K",0,148,100,10000,3598006
"GvZEwtCHZ7YtCkQCaLRVEXsyVvQkRDhJhQgB6akPme1e",10,149,0,0,3455692
