"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10","total_vote_credits_last_10","criteria_value_super_miniority","criteria_value_commission","criteria_value_mev_commission","criteria_value_epoch_credits","criteria_met_super_minority","criteria_met_commission","criteria_met_mev_commission","criteria_met_epoch_credits","in_allow_list"
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,391,0,0,15401797,68907952,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6891994,6898718,6896749,6897845,6890795,6892000,6873340,6881160,6880978,6904373","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,491,7,700,15023065,68952711,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6891926,6898467,6896635,6898655,6890636,6892011,6878839,6896985,6902217,6906340","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,491,0,0,13229665,68876202,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6892177,6898789,6896841,6889227,6844732,6892317,6866970,6897371,6891217,6906561","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,396,5,0,12766432,68981624,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0","6898035,6902513,6901285,6902537,6896522,6897639,6869438,6901222,6904861,6907572","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,489,7,700,9083022,68952460,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6891805,6898627,6896747,6898744,6890525,6891825,6878773,6896951,6902224,6906239","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"8GbwASqdpw4dVcwbWUxbHXMrjyQx2aKkoBR5H1GJF8iD",0,120,0,0,8109490,68951872,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6892008,6898727,6896784,6898776,6889905,6892061,6877748,6897136,6902373,6906354","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,491,7,10000,7473136,68984753,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6897683,6902359,6900944,6902285,6896486,6897211,6875675,6900806,6903991,6907313","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",0,490,10,1000,6936761,68940679,"1,1,1,1,1,1,1,1,1,1","10,10,10,10,10,10,10,10,10,10","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","6891720,6898134,6895448,6898219,6889558,6888047,6875684,6896861,6901982,6905026","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,491,0,0,6654257,68933697,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6890372,6896936,6895223,6896890,6889488,6891131,6877192,6894230,6902239,6899996","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,451,5,2500,6267388,68929658,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","2500,2500,2500,2500,65535,65535,65535,65535,65535,65535","6889837,6895274,6894667,6897310,6888899,6890806,6878767,6897016,6890854,6906228","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
