"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10","total_vote_credits_last_10","criteria_value_super_miniority","criteria_value_commission","criteria_value_mev_commission","criteria_value_epoch_credits","criteria_met_super_minority","criteria_met_commission","criteria_met_mev_commission","criteria_met_epoch_credits","in_allow_list"
"CcaHc2L43ZWjwCHART3oZoJvHLAe9hzT2DJNUpBzoTN1",0,505,7,700,16216728,68813532,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6888704,6890377,6883463,6876308,6895269,6906851,6905862,6854026,6822567,6890105","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"he1iusunGwqrNtafDtLdhsUQDFvo13z9sUa36PauBtk",0,405,0,0,15826369,68703981,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6887555,6888167,6884103,6878300,6895387,6906882,6905983,6854012,6822539,6781053","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"CatzoSMUkTRidT5DwBxAC2pEtnwMBTpkCepHkFgZDiqb",0,410,5,0,12531451,68865337,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","0,0,0,0,0,0,0,0,0,0","6892851,6880503,6889118,6885514,6897380,6907534,6904795,6868070,6845880,6893692","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"3N7s9zXMZ4QqvHQR15t5GNHyqc89KduzMP7423eWiD5g",0,505,0,0,12111651,68802244,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6888965,6881602,6884257,6879173,6895616,6907077,6906133,6845461,6822765,6891195","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"26pV97Ce83ZQ6Kz9XT4td8tdoUFPTng8Fb8gPyc53dJx",0,503,7,700,9222887,68816856,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","700,700,700,700,700,700,700,700,700,700","6888499,6890290,6884055,6878934,6895195,6906814,6905827,6853853,6822414,6890975","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"8GbwASqdpw4dVcwbWUxbHXMrjyQx2aKkoBR5H1GJF8iD",0,134,0,0,8224586,68814941,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6887559,6888223,6884137,6879089,6895421,6906906,6905985,6854025,6822576,6891020","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"9QU2QSxhb24FUX3Tu2FpczXjpK3VYrvRudywSZaM29mF",0,505,7,10000,7617792,68883733,"1,1,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6895015,6877579,6891719,6888273,6899744,6907957,6907335,6870823,6848642,6896646","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm",0,504,10,1000,7028788,68754749,"1,1,1,1,1,1,1,1,1,1","10,10,10,10,10,10,10,10,10,10","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","6840543,6889234,6879960,6874909,6892021,6907078,6906096,6853746,6822179,6888983","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"DumiCKHVqoCQKD8roLApzR5Fit8qGV5fVQsJV9sTZk4a",0,505,0,0,6656604,68787013,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6887330,6884737,6878685,6874194,6895249,6906711,6905755,6847394,6821962,6884996","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"CvSb7wdQAFpHuSpTYTJnX5SYH4hCfQ9VuGnqrKaKwycB",0,465,5,2500,6364585,68793878,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","2500,2500,2500,2500,2500,2500,2500,2500,2500,2500","6887945,6874908,6878828,6878359,6894137,6906792,6905811,6853844,6822415,6890839","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"HZKopZYvv8v6un2H6KUNVQCnK5zM9emKKezvqhTBSpEc",0,506,100,10000,6122616,68787348,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6888912,6890631,6884388,6868691,6895567,6907085,6906161,6843570,6811144,6891199","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"DdCNGDpP7qMgoAy6paFzhhak2EeyCZcgjH7ak5u5v28m",0,506,5,10000,5745001,68813401,"1,1,1,1,1,1,1,1,1,1","5,5,5,5,5,5,5,5,5,5","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6888870,6885083,6884361,6879204,6895566,6907069,6906154,6854268,6822769,6890057","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"GHViLgbrJdZDPb6sphRbeuPNM9cmjsFuGWzrTF1sKF5n",0,503,100,-Infinity,5698880,68635086,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","65535,65535,65535,65535,65535,65535,65535,65535,65535,65535","6848839,6890550,6847334,6835544,6845251,6906928,6906104,6854229,6809290,6891017","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"3JD3jMmnR6g88qff2WZ3cMHJRjJMUk9yVZtmYTYeFrXf",0,155,0,0,5625071,68798846,"1,1,1,1,1,1,1,1,1,1","0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0","6878770,6884423,6883334,6878482,6894470,6906871,6905901,6853986,6822556,6890053","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"HimWQUK61d9wxhw7EYu9jUje7xQiDs4jKexaTSvuCmXE",0,356,8,800,4564888,68818907,"1,1,1,1,1,1,1,1,1,1","8,8,8,8,8,8,8,8,8,8","800,800,800,800,800,800,800,800,800,800","6888772,6889612,6884377,6879169,6895657,6907069,6906047,6854244,6822767,6891193","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"FKsC411dik9ktS6xPADxs4Fk2SCENvAiuccQHLAPndvk",0,506,7,800,4478282,68807270,"0,0,1,1,1,1,1,1,1,1","7,7,7,7,7,7,7,7,7,7","800,800,800,800,800,800,800,800,65535,800","6886288,6890257,6883647,6876631,6895590,6906120,6906150,6849422,6822710,6890455","true,true,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","true,true,true,true,true,true,true,true,true,true","no"
"3ZYJxzCeweSoh2Jj7oCgencFs9y27iKmXJeqYapje1cj",0,504,100,10000,4084156,68819863,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6888879,6890403,6884372,6879180,6895646,6907074,6906153,6854263,6822727,6891166","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
"AZoCYB4VgoM9DR9f1ZFcBn8xPSbtbqoxZnKJR7tkvEoX",0,504,100,10000,4032607,68819970,"1,1,1,1,1,1,1,1,1,1","100,100,100,100,100,100,100,100,100,100","10000,10000,10000,10000,10000,10000,10000,10000,10000,10000","6888874,6890579,6884367,6879198,6895599,6907062,6906141,6854258,6822716,6891176","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","false,false,false,false,false,false,false,false,false,false","true,true,true,true,true,true,true,true,true,true","no"
