"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","avg_activated_stake_lamports_last_10"
6uttVyMD5xcLR6tUd7Lf2NVeR2HH7oQarJxk5fDcPKes,0,115,14689810
ERGGpaBaRmZVcWGxeZARBUKLju6WUAdw8jsWraD8aqwZ,0,76,9683190
DFbCcZDvr6VmbLCYMQouoraFNyLhYMCFezDCPxBGT7xa,0,114,8962445
H66Mg8Q5uAHdhDbruqERcAWYWSjuMLk1sw8q3QGdEwdQ,0,116,8483955
2B9iXLjX6o5mNc9TAx4FrioMZTvqU4i6n68vsTCt8svi,0,117,6854156
EUyVVK5dAVA7e6ZKxzmoEXzhitn1GYN84Nou5wWi8TXa,0,116,5991429
Cn4Bs7EBNxcVyEbS2HQaJTrmNHmpqUF2xYQkaxtuCfiA,0,116,5535476
GcVz5GEXzhJtijJid3SQ4Z3C2zyVJgdn72LYKHygNqnY,0,116,5496792
6xNiQSUULppSHw7beKSeqmzuRrTMLQf2DAA1W7TPfR2Z,0,115,5432071
2krQ9Bs1dYvwkQjZxxUnWDPqsJjotPsv2sAaGU9bEkzL,0,117,5103021
H4gLF9LMcZnSkrq5nmNBMTRr1Fu14cFnctzvpQv24jqV,0,117,4894476
H6EqTwsdEiGTtsLHFGtYXX9fjzQzwhm7EWZovHtWwdiX,0,115,4752819
Bbwyhqvrho6Lp95ACp1Guw4z5JmG7t5gg3oWgt6nkyPS,0,115,4734033
3agAXJk2bvTJ8VmEGMDXbt22irKjYxZ2XybCRnUontvN,0,114,4733432
D6hAUutntgTDsNFAEzJ4QjMD2MUPa7RXBN3iG2vT9rPv,0,20,4373347
2sbtALwdNCamY2SKu1TxMYcxjbGQUeEMvbw396cx9Jj9,0,117,4290539
4C8om5s9TaPQsrpEu9WiM3wxJk492Xx7cRrKbYCAXjjU,0,115,4246891
ZsbmBYD63W9mHEjqgj7rqf23MajBeYP9NLveKCnEkPf,0,16,4061696
Bi2chTdkKfQpquShEQYMUea5mJtjMKm4V2TLL7kcau1Q,0,101,3971253
5tUh5PdPdVSQVzadhm45mBcdGBUeHnTcaEruqfxw2GjM,0,116,3678839
59pY5QvqUfEqn9vGefSoyPzACQAAjjoNCSxjipkXUZTP,0,114,3598007
5frm8StgWrWBRSMLp5HSG8WzP9waWF5of1VvBrkzvbqV,7,117,3593736
E5THh1zEV5HRLJrmJ1MMmfE9ZpZiqbQmXXpeYZZjM9x6,0,114,3550863
AnQMw3C2aTC5iT27R5QsXXjKbnUoEAaVvsuApzPc7Dry,10,115,3315455
DRCDdTnzjM6MDhHowzKAMJ739xUnNwnxPcotZGR7bN2N,0,115,3259084
HeyeXu2dxxjBdwjDP4kA2Vzq5ifAC3eLZVuPe8QpVZvH,10,115,3256498
28TGJPHQQrZt4eJz9ZSyp4yGidzNB4ZbpHYVLRFdEH8t,0,115,3105125
GQJyKpf7nt2WRz99AU99GxmyXsvP3oBfmD486EC46wbg,10,116,2981279
2NENK4tKAHfJ4D6M8P7uPx7d7LTkFD32YdWPfxEquto2,0,116,2960664
GDUxAK8S4Q2aSkEvmfxVAUo7SmoecDqgXPhkduuddeh,10,115,2950674
EA5AF8GDNASCAyfKWZSAzxxzPFhx3eFsR915uvi2QuEQ,0,113,2916667
BwzpAnHkhhkqNVXRQt6GX4vtYsefjZ4L3rwLYJJkGQQa,0,116,2911857
9PNvfCBaxV4RVqZpJHmctLaxihDSxqXLha64ZgcgtHv1,0,114,2746384
98pZkZQoHSTxefg3PfXf8u4e28HazQYSZePbLmejKmni,10,116,2702276
4HMkJtMhCJxdDB1cthCDeniHqCkeA5E2NGxw6vDDxoQw,0,115,2666052
EWquY4Gny2aBz1LRQadAWgkDJXTmMtwTACPG47cKP7uv,0,15,2631595
8yZa1TNYEBJPVFpvEVKLgxB99MPKZSK4T3NgfmChxzuW,10,114,2603504
7SsFqSs7kXUfx9GzUKpEfUajytBkGySW6Wem8cATRytp,0,115,2538344
FUoBiUCVtD2ktJmSWq8UwFTJoUJHkojGgoTrFQKdu7yK,0,116,2535907
2frYBPs6HiQsMrg17kFC12QzXrZWYH5j1AEC74XMG2Co,0,115,2502415
66aMbTJGUz7CLWTYd1hLCHLS58bsiCjZm66aWxKsrA4J,0,116,2502415
43xz62wy9g7FRVWBqg7qetWEevnQ4CqAk2wz5Ubk85Mi,0,115,2502395
GernDdqKHLk3RXnTR1ZEScVSARbdJcGaevDYeA5QsrPk,0,115,2502391
HMbtFpQg6hTK7HSivDwRXm2dJL1i4T9ghKa98NGbe9XX,0,116,2502383
8vLNGCH1hNF8vAMzMq372egDXeivwqnYqA7on1xnTUxF,0,116,2500000
AfBNfda2MhCcAN2tYbempaBei9n1BhLiBst4oqGivmNA,0,116,2500000
6tafaVVVjahQ6JdGbFM3o9KwJ64HGrxveeRHNBRQbKN3,0,116,2499999
7HhfKEVT8jnmjYRB1vc6psNKh8vYwNsManE28WHHknSp,0,116,2499999
H87YeqPP1Aea619kK5EpesSGZUkifKv9VJi2SmeQGSUJ,0,115,2499999
GqKAcHw1ECoLXMJo8pV1VpNfckZgPhVqaUbKXF7yyyhY,0,115,2409417
DHth4MkxVTMoSqYVMETNs6c1frdpRV1oWkVQSVdoEYq5,0,116,2322628
4aN4xhS5GwvyuuPUBroZ2qbRFMw3ToEtxDwXQ5NjNm8D,0,117,2182665
8bQsRqWrvP6xDQj667wgGPbPrmXwWsJSU3RGQQSJUrw4,0,114,2105791
CNqYBbLsw12sSjdYZ6R4yANfsx8kQjihoh7s9LTTiWdS,10,80,2100731
57TW3yMTRfS3zQQ4TqMcvQjKthG4sAgFKAnxfqFKQCpe,0,116,2083334
AVjkkrXRvZJsFkNK9BF2sJVQzGL7TszHHK3EWmHVVGWm,10,116,2081595
Dn8WcGXR3qkaw4Xvc39Ws29GbZDsWMandnTGMmTGgwwq,0,103,2074263
6UQ3mbFz25NKmx93JfRHR3Ve9cq9f2d5hFg9vKq3Hgny,0,100,1949179
9H9h92DfFWyMcCan9voj3ApDdPYyuvvseMgfWBmNdtKq,0,114,1875000
CJo7c4v4GrDtTv5oUdemvg9ak9aYmNCpXCXxf2Ykjhm3,10,116,1836054
HTWGuYzJBFZGYJ4wg8Xg1UF5QqckaNuj8nvWoBow1oqM,10,16,1710000
